sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
PL;ANTIGNANA;A311;05/01/1921;07/02/1923
PL;ANTIGNANA;A311;08/02/1923;15/09/1947
AL;ANTIGNANO;A312;08/10/1880;07/04/1935
AT;ANTIGNANO;A312;08/04/1935;
ME;ANTILLO;A313;17/03/1861;
RC;ANTONIMINA;A314;17/03/1861;
AQ;ANTRODOCO;A315;17/03/1861;11/01/1927
RI;ANTRODOCO;A315;12/01/1927;
NO;ANTRONAPIANA;A316;17/03/1861;31/05/1928
NO;"ANTRONA SCHIERANCO";A317;31/05/1928;22/05/1992
VB;"ANTRONA SCHIERANCO";A317;23/05/1992;
AQ;ANVERSA;A318;17/03/1861;10/11/1926
AQ;"ANVERSA DEGLI ABRUZZI";A318;11/11/1926;
CO;"ANZANO DEL PARCO";A319;13/07/1863;
AV;"ANZANO DEGLI IRPINI";A320;29/12/1862;23/02/1929
FG;"ANZANO DEGLI IRPINI";A320;24/02/1929;21/05/1931
FG;"ANZANO DI PUGLIA";A320;22/05/1931;
PZ;ANZI;A321;17/03/1861;
NO;ANZINO;A322;17/03/1861;07/08/1928
RM;ANZIO;A323;15/01/1871;11/12/1939
RM;ANZIO;A323;05/06/1945;
BO;"ANZOLA DELL'EMILIA";A324;23/06/1864;
NO;"ANZOLA D'OSSOLA";A325;11/03/1864;29/07/1928
NO;"ANZOLA D'OSSOLA";A325;03/08/1947;22/05/1992
VB;"ANZOLA D'OSSOLA";A325;23/05/1992;
TO;AOSTA;A326;17/03/1861;11/01/1927
AO;AOSTA;A326;12/01/1927;
PU;APECCHIO;A327;17/03/1861;
BN;APICE;A328;17/03/1861;
MC;APIRO;A329;17/03/1861;
BN;APOLLOSA;A330;17/03/1861;
GE;APPARIZIONE;A331;17/03/1861;05/02/1926
TN;APPIANO;A332;16/10/1920;13/02/1923
TN;APPIANO;A332;14/02/1923;11/01/1927
BZ;APPIANO;A332;12/01/1927;21/09/1971
BZ;"APPIANO SULLA STRADA DEL VINO";A332;22/09/1971;
CO;APPIANO;A333;19/04/1867;23/09/1926
CO;"APPIANO GENTILE";A333;24/09/1926;
MC;APPIGNANO;A334;17/03/1861;
AP;"APPIGNANO DEL TRONTO";A335;28/03/1879;
FU;APRIANO;A336;05/01/1921;07/02/1923
PL;APRIANO;A336;08/02/1923;08/03/1924
FU;APRIANO;A336;09/03/1924;21/12/1931
SO;APRICA;A337;04/01/1924;
IM;APRICALE;A338;17/03/1861;
FG;APRICENA;A339;17/03/1861;
